Year,geoid,type,name,centroid_lng,centroid_lat,bbox_arr
2021,3615814,place,"Clarence, NY",-78.5953251,42.9757305,"{-78.612644,42.959957,-78.577059,42.988281}"
2021,3615836,place,"Clarence Center, NY",-78.6308151,43.0084249,"{-78.652351,42.994985,-78.616327,43.02109}"
2021,3615902,place,"Clark Mills, NY",-75.376112,43.0845791,"{-75.393334,43.077741,-75.361964,43.101593}"
2021,3615946,place,"Clarkson, NY",-77.9162012,43.2398177,"{-77.967009,43.219341,-77.876702,43.262784}"
2021,3616050,place,"Claverack-Red Mills, NY",-73.7222747,42.2294809,"{-73.750798,42.213374,-73.698902,42.24112}"
2021,3616089,place,"Clayton, NY",-76.0827342,44.2374867,"{-76.109572,44.223171,-76.057087,44.248966}"
2021,3616111,place,"Clayville, NY",-75.2506805,42.9779625,"{-75.255883,42.962581,-75.241556,42.983}"
2021,3616188,place,"Cleveland, NY",-75.8842019,43.2400016,"{-75.896825,43.23019,-75.872979,43.248647}"
2021,3616298,place,"Clifton Gardens, NY",-73.7826005,42.8471175,"{-73.794323,42.838978,-73.773062,42.855681}"
2021,3616322,place,"Clifton Knolls-Mill Creek, NY",-73.8063557,42.8506584,"{-73.821656,42.836272,-73.79402,42.858558}"
2021,3616375,place,"Clifton Springs, NY",-77.1347885,42.9608317,"{-77.149459,42.953106,-77.119996,42.970353}"
2021,3616419,place,"Clinton, NY",-75.3784617,43.0488663,"{-75.391085,43.0431,-75.366341,43.056521}"
2021,3616452,place,"Clintondale, NY",-74.0426535,41.6902688,"{-74.074318,41.667702,-73.999586,41.716505}"
2021,3616573,place,"Clyde, NY",-76.8704301,43.0841623,"{-76.886235,43.072607,-76.85537,43.094925}"
2021,3616628,place,"Cobleskill, NY",-74.4852336,42.6790021,"{-74.516783,42.659609,-74.453181,42.694883}"
2021,3616727,place,"Cohocton, NY",-77.5000062,42.4999299,"{-77.512871,42.4871,-77.488034,42.509926}"
2021,3616749,place,"Cohoes, NY",-73.7077593,42.772867,"{-73.731717,42.751143,-73.676762,42.794077}"
2021,3616815,place,"Cold Brook, NY",-75.0388692,43.2398746,"{-75.048521,43.231963,-75.032076,43.24907}"
2021,3616936,place,"Cold Spring, NY",-73.9547452,41.419238,"{-73.964047,41.412567,-73.944864,41.425467}"
2021,3616958,place,"Cold Spring Harbor, NY",-73.4564061,40.8643223,"{-73.473466,40.835835,-73.431168,40.88452}"
2021,3617332,place,"Colonie, NY",-73.8317359,42.7208726,"{-73.859982,42.702078,-73.808616,42.736659}"
2021,3617398,place,"Colton, NY",-74.9466619,44.5650559,"{-74.955875,44.545665,-74.927442,44.57256}"
2021,3617530,place,"Commack, NY",-73.2833356,40.8434495,"{-73.321109,40.803983,-73.238831,40.875405}"
2021,3617607,place,"Conesus, NY",-77.6696764,42.7263326,"{-77.683052,42.715086,-77.657804,42.736822}"
2021,3617622,place,"Conesus Lake, NY",-77.7011203,42.8021754,"{-77.731715,42.713525,-77.687345,42.83455}"
2021,3617739,place,"Congers, NY",-73.9463705,41.1491221,"{-73.96525,41.117749,-73.927613,41.173769}"
